sku,style,color,size,brand,deptdesc
3,"00    F55KT2",WHISPERWHITE,P8EA,TURNBURY,"st john"
4,"22    615CZ4",SPEARMI,S,"C A SPOR",echo
5,"7LBS  245-01","34 SILVER",KING,"BEAU IDE","sigrid o"
8,"622   F05H84","MORNING MI",2T,HARTSTRI,citizens
15,"126   MDU461",255CAMEL,12,JONES/LA,bep
20,"      669N26","NEWPORT NA",090N,"BROWN SH",invest
23,"18    TZMU01","ICED BERRY",S,"EMMA JAM",carole
24,"8A    9H8145","428MEDIUM ST",2,AMERICAN,citizens
39,"56    CIMU03",PRALINE,"16   ND","SIGRID O","karen k"
45,"34    TZMU00",BARK/SEASP,10,"EMMA JAM",carole
47,"37-30 445241",GREEN,6X,"KIDS HEA",citizens
49,"01    KYRIE0","BLACK LE",P286,"ENZO ANG",brioso
50,BE-AARK6691-,BLACK,5,LOLLYTOG,cartier
54,"74    F4483H",HEATHER/MI,SMALL,"FU DA IN",echo
55,ATO550NWSALV,"DPUR/DPU F",090M,"NINE WES",brioso
58,ILY260NWRAND,"MED NATU L",075M,,brioso
65,"15-01 444542",ASSORTED,5,"KIDS HEA",cartier
68,"56    TZMU00",PEACOCK,4,"EMMA JAM",carole
69,"      WINDY","RED CALF",070M,"ME TOO",brioso
73,"3     F11G28",WHITE,HAND,NOBILITY,nob
77,"54    BL5462",DKWSHWHT,"12 MONTHS","RALPH LA","r lauren"
78,70091L440400,BROWN,10,"M.M. & R","karen k"
89,"96N   K9456-",KHAKI,L,"LA BELLE",esprit
91,"      H31246",CORAL,S,"GABAR IN",catalin
93,ESE240ESMALT,"COGN/COG L",075W,"THE UNIT",invest
97,"45    A669Z6",PERRIWINKL,XL,"SAN FRAN",cambio
101,"86    E15122",270IVORY,SML,"E.W.L. S",cambio
105,"7     HA8036",310ALGAE,5,FLAPDOOD,cartier
106,"-2    VB8428",CRM/GRN,ONE,"OLD SCHO","ellen t"
107,"NCK8  REDCRY","RED CRYSTAL",ONE,"MICA JEW",environ
123,"L     216061",CHOCLT/BLK,14,"DANNY &",lacoste
124,"001   311920",BLACK/PINK,020M,"NIKE INC",reebok
126,"42    801-12",CAVIAR,2,"DUTCH LL","matty m"
127,"703L  35K2G7","EARTH VELV",S,"CALVIN K","karen k"
131,"      C53935",OCEAN,M,MANHATTA,catalin
133,"92    Y53V90",BLK-BLACK,32,"GUESS AL",cop
139,"3     154372",BLACK/MULT,8,"SUSAN BR","karen k"
143,"19P   D45PY7",NAVY/GRN,M,"C A SPOR",bep
148,"4     HB8037","030HEATHER G",4T/4,FLAPDOOD,cartier
149,"85    801-40",CAVIAR,XS,"DUTCH LL","matty m"
155,"1     F34D12",CAMEL,ALL,BECHAMEL,p&y
156,"E16   F4088B",PINK/WHITE,L,"FU DA IN",echo
158,"X5137 047Y32","BLK -BLACK",28,"GUESS AL",cop
164,"4     H28688",ROSE,ALL,HASKELL,1928
172,"OL    A1484W","ORIENTAL B",M,"MOA MOA",colehaan
177,"XR    C4M139",RASPBERRY,XL,PERISCOP,bep
