sku,store,saledate,stype,total_quantity,total_amount,total_profit
348,2907,"2005-08-05 00:00:00",P,1,28.000,11.20
387,502,"2005-01-16 00:00:00",P,1,71.100,33.10
387,1104,"2004-09-14 00:00:00",P,1,79.000,41.00
387,2402,"2005-04-02 00:00:00",P,1,79.000,41.00
387,3902,"2005-06-09 00:00:00",P,1,79.000,41.00
387,6503,"2005-04-01 00:00:00",P,1,79.000,41.00
450,1909,"2005-06-29 00:00:00",P,1,3.990,1.99
450,2409,"2005-07-21 00:00:00",P,1,3.000,1.00
450,3902,"2005-07-27 00:00:00",P,1,2.100,0.10
450,8402,"2005-06-04 00:00:00",P,1,5.000,3.00
450,8603,"2005-08-25 00:00:00",P,1,2.100,0.10
450,9304,"2005-08-14 00:00:00",P,1,3.990,1.99
545,2102,"2005-08-10 00:00:00",P,1,10.990,2.99
561,5604,"2005-08-19 00:00:00",P,1,24.000,14.40
561,7202,"2005-08-03 00:00:00",P,1,26.000,16.40
629,6903,"2005-07-02 00:00:00",P,1,24.000,14.00
629,8503,"2005-06-23 00:00:00",P,1,24.000,14.00
629,9303,"2005-07-16 00:00:00",P,1,24.000,14.00
662,3607,"2005-08-12 00:00:00",P,1,12.000,6.75
788,704,"2005-02-04 00:00:00",P,1,18.000,10.00
788,5704,"2005-07-30 00:00:00",P,1,18.000,10.00
788,8607,"2005-04-20 00:00:00",P,1,18.000,10.00
879,1207,"2005-06-26 00:00:00",P,1,9.990,5.74
1087,4109,"2004-09-09 00:00:00",P,1,7.000,-4.00
1192,1004,"2005-02-17 00:00:00",P,1,30.000,10.00
1542,1709,"2004-12-04 00:00:00",P,1,5.000,3.25
1542,8709,"2004-12-14 00:00:00",P,1,5.000,3.25
1542,9609,"2005-02-25 00:00:00",P,1,1.250,-0.50
1634,2303,"2005-06-04 00:00:00",P,1,60.000,31.50
1634,2402,"2005-06-04 00:00:00",P,1,48.000,19.50
1634,4102,"2004-10-21 00:00:00",P,1,60.000,31.50
1634,9804,"2005-03-27 00:00:00",P,1,60.000,31.50
2186,6004,"2005-04-28 00:00:00",P,1,23.750,11.95
2365,8402,"2005-02-08 00:00:00",P,1,24.990,8.49
2695,1807,"2004-09-23 00:00:00",P,1,25.500,7.50
2695,2504,"2005-05-29 00:00:00",P,1,34.000,16.00
2695,4003,"2004-12-03 00:00:00",P,1,34.000,16.00
2695,6203,"2004-09-11 00:00:00",P,1,25.500,7.50
2695,9304,"2005-05-13 00:00:00",P,1,34.000,16.00
2695,9806,"2004-08-10 00:00:00",P,1,34.000,16.00
2695,9806,"2004-10-21 00:00:00",P,1,34.000,16.00
3072,2904,"2004-09-06 00:00:00",P,1,35.000,24.50
3072,6204,"2005-05-06 00:00:00",P,1,17.500,7.00
3072,8302,"2005-02-26 00:00:00",P,1,17.500,7.00
3392,209,"2004-12-10 00:00:00",P,1,45.000,21.50
3392,809,"2004-12-22 00:00:00",P,1,45.000,21.50
3392,2004,"2004-12-30 00:00:00",P,1,45.000,21.50
3392,2704,"2004-10-01 00:00:00",P,1,45.000,21.50
3392,6404,"2005-02-18 00:00:00",P,1,45.000,21.50
3392,7403,"2004-12-09 00:00:00",P,1,45.000,21.50
3392,7407,"2005-02-12 00:00:00",P,1,45.000,21.50
3596,4004,"2005-03-31 00:00:00",P,1,9.970,-29.78
3596,5903,"2005-04-28 00:00:00",P,1,13.900,-25.85
3596,7204,"2005-04-21 00:00:00",P,1,11.920,-27.83
3734,407,"2005-07-10 00:00:00",P,1,39.500,19.75
3734,3407,"2005-08-25 00:00:00",P,1,18.520,-1.23
3734,7907,"2004-08-06 00:00:00",P,1,39.500,19.75
3754,3809,"2005-06-07 00:00:00",P,1,10.000,5.50
3754,4403,"2005-07-18 00:00:00",P,1,10.000,5.50
3754,5303,"2005-04-29 00:00:00",P,1,8.000,3.50
3754,7603,"2005-05-05 00:00:00",P,1,7.500,3.00
3754,9103,"2005-07-30 00:00:00",P,1,10.000,5.50
3881,404,"2005-07-13 00:00:00",P,1,26.250,18.75
3986,3704,"2005-03-20 00:00:00",P,1,59.000,32.15
4072,4103,"2005-05-28 00:00:00",P,1,5.560,-7.19
4092,1502,"2005-07-29 00:00:00",P,1,13.900,-25.85
4126,2504,"2005-03-08 00:00:00",P,1,9.990,1.49
4190,102,"2005-04-09 00:00:00",P,1,129.000,74.00
4190,604,"2004-12-07 00:00:00",P,1,129.000,74.00
4190,1607,"2005-08-05 00:00:00",P,1,64.500,7.00
4190,3102,"2004-10-15 00:00:00",P,1,129.000,74.00
4220,3902,"2005-01-24 00:00:00",P,1,9.990,2.99
4257,303,"2005-04-22 00:00:00",P,1,19.990,3.32
4257,4303,"2005-01-16 00:00:00",P,1,24.990,8.32
4286,4003,"2005-02-23 00:00:00",P,1,6.120,-13.15
4286,5304,"2005-03-01 00:00:00",P,1,12.250,-7.02
4286,6304,"2005-02-20 00:00:00",P,1,24.500,5.23
4514,7804,"2004-12-31 00:00:00",P,1,60.300,15.80
4526,1509,"2005-02-18 00:00:00",P,1,24.500,-14.65
4564,2109,"2005-02-10 00:00:00",P,1,34.750,7.75
4564,6203,"2004-09-30 00:00:00",P,1,14.870,-12.13
4597,2207,"2005-05-29 00:00:00",P,1,3.000,2.05
4796,2304,"2005-01-05 00:00:00",P,1,29.990,9.97
4849,3602,"2005-02-03 00:00:00",P,1,11.250,-7.61
4883,3609,"2005-02-23 00:00:00",P,1,4.870,-13.48
4883,7302,"2005-01-20 00:00:00",P,1,9.750,-8.60
4883,9609,"2004-10-04 00:00:00",P,1,26.130,7.78
4883,9609,"2005-01-15 00:00:00",P,1,9.750,-8.60
6025,7404,"2005-03-16 00:00:00",P,1,34.500,2.05
6115,3302,"2005-03-12 00:00:00",P,1,7.500,-7.75
6115,3303,"2005-02-04 00:00:00",P,1,7.490,-7.76
6115,6002,"2005-02-21 00:00:00",P,1,14.990,-0.26
6179,302,"2004-12-05 00:00:00",P,1,89.780,37.85
6253,504,"2005-07-09 00:00:00",P,1,19.990,-9.51
6253,1002,"2005-02-13 00:00:00",P,1,14.750,-14.75
6281,5704,"2005-02-19 00:00:00",P,1,17.370,-17.38
6281,8402,"2005-02-13 00:00:00",P,1,34.750,0.00
6416,309,"2005-03-18 00:00:00",P,1,4.990,-9.50
6416,4104,"2005-03-17 00:00:00",P,1,8.620,-5.87
6416,5104,"2004-12-17 00:00:00",P,1,8.620,-5.87
6416,6102,"2005-03-02 00:00:00",P,1,8.620,-5.87
6421,2109,"2004-12-20 00:00:00",P,1,64.000,38.00
6469,8607,"2005-03-16 00:00:00",P,1,6.000,3.59
6469,8802,"2005-02-03 00:00:00",P,1,5.000,2.59
6504,107,"2005-06-16 00:00:00",P,1,39.990,13.99
6504,7603,"2005-07-11 00:00:00",P,1,14.750,-11.25
6525,5204,"2005-07-27 00:00:00",P,1,5.600,-0.80
6525,7902,"2004-12-27 00:00:00",P,1,16.000,9.60
6619,9806,"2004-10-17 00:00:00",P,1,4.000,2.05
6641,5903,"2004-09-21 00:00:00",P,1,14.000,8.25
6667,5503,"2005-02-17 00:00:00",P,1,7.350,-13.65
6713,8402,"2004-12-16 00:00:00",P,1,695.000,393.00
6770,4503,"2004-11-18 00:00:00",P,1,34.000,20.88
6801,802,"2005-02-17 00:00:00",P,1,12.500,-5.80
6819,4603,"2004-12-27 00:00:00",P,1,6.690,2.69
6839,709,"2004-12-03 00:00:00",P,1,14.990,6.99
