sku,store,saledate,stype,total_quantity_returned,total_refunds
3392,5403,2005-05-30,R,1,45.000
3596,1709,2005-03-05,R,1,39.750
4488,4804,2005-02-17,R,1,19.000
6115,5204,2005-02-04,R,1,8.740
6253,7004,2005-03-01,R,1,29.500
6281,6404,2005-03-10,R,1,34.750
6376,3202,2004-10-01,R,1,8.750
6469,3004,2005-01-23,R,1,4.020
6504,3409,2005-03-02,R,1,59.000
6525,2707,2005-01-02,R,1,8.000
6879,407,2005-07-20,R,1,19.750
7354,3402,2005-07-08,R,1,12.250
7367,4107,2005-01-05,R,1,229.000
7373,304,2005-01-09,R,1,60.000
7373,504,2005-03-18,R,1,30.000
7373,7107,2005-05-29,R,1,30.000
7379,9103,2005-08-10,R,1,16.000
7394,7402,2005-07-17,R,1,31.990
7416,1104,2005-07-25,R,1,19.990
7425,6402,2005-04-29,R,1,34.990
7703,1402,2005-06-10,R,1,42.000
7703,2009,2005-04-25,R,1,42.000
7746,4802,2005-06-03,R,1,14.500
7782,1904,2005-08-13,R,1,14.990
7842,4802,2005-05-31,R,1,29.990
7857,1807,2005-05-20,R,1,50.000
7915,802,2005-04-12,R,1,19.500
7915,9302,2004-11-10,R,1,19.500
8067,7703,2005-06-16,R,1,22.000
8385,203,2005-05-22,R,1,19.990
8385,4507,2005-07-29,R,1,10.490
8488,2602,2005-07-17,R,1,24.990
9483,6704,2005-08-07,R,1,39.500
9633,1807,2004-11-23,R,1,21.000
9951,802,2005-04-07,R,1,13.500
9951,1703,2004-11-25,R,1,13.500
9951,4403,2005-05-20,R,1,13.500
10896,209,2005-05-15,R,1,18.500
10896,3604,2005-07-01,R,1,18.500
10896,4209,2005-01-10,R,1,18.500
10896,5802,2005-04-14,R,1,18.500
10896,9709,2004-09-10,R,1,18.500
13392,5303,2005-04-20,R,1,45.000
13882,7507,2005-03-07,R,1,13.120
14045,1009,2005-02-18,R,1,19.990
14443,7502,2005-01-13,R,1,26.990
14443,8409,2005-01-19,R,1,17.500
16020,4902,2005-04-07,R,1,34.000
16054,4804,2005-03-09,R,1,9.750
16490,6703,2005-02-25,R,1,6.700
16504,4802,2004-12-03,R,1,59.000
16506,2303,2004-11-25,R,1,15.000
16828,6102,2004-12-03,R,1,34.000
16914,304,2005-07-19,R,1,7.000
17031,4502,2005-01-17,R,1,19.990
17376,4504,2005-04-05,R,1,49.000
17402,2109,2005-01-10,R,1,32.000
17505,404,2005-05-31,R,1,39.000
17574,2907,2005-07-31,R,1,20.000
17619,8602,2005-06-09,R,1,39.750
17708,1502,2005-07-02,R,1,30.000
17915,2909,2005-04-18,R,1,19.500
17915,4102,2005-08-11,R,1,19.500
17915,4204,2004-10-10,R,1,19.500
18048,5602,2005-07-27,R,1,52.930
18060,2409,2005-06-28,R,1,11.500
18224,8503,2005-06-19,R,1,16.000
18686,1207,2005-08-11,R,1,24.120
19136,3604,2005-05-17,R,1,90.000
19171,107,2004-12-03,R,1,16.500
19171,407,2005-02-12,R,1,16.500
19171,5503,2004-10-23,R,1,16.500
19171,8503,2005-02-24,R,1,16.500
19633,3707,2004-10-16,R,1,21.000
19633,4007,2004-10-19,R,1,21.000
19633,5403,2005-08-01,R,1,21.000
19633,6302,2005-04-29,R,1,21.000
19633,6403,2005-04-04,R,1,21.000
19633,6704,2005-04-04,R,1,21.000
19633,7402,2005-04-27,R,1,21.000
19633,7507,2005-02-19,R,1,21.000
19633,8403,2005-03-08,R,1,21.000
19633,8707,2005-03-02,R,1,21.000
19633,9103,2005-02-22,R,1,21.000
19633,9503,2004-08-07,R,1,21.000
19633,9603,2005-01-19,R,1,21.000
19879,1904,2005-08-08,R,1,89.000
19951,107,2004-09-07,R,1,13.500
19951,5603,2004-09-09,R,1,13.500
20074,202,2005-07-20,R,1,20.000
20074,5704,2004-07-31,R,1,20.000
20662,2707,2005-07-22,R,1,18.000
20666,4902,2004-12-25,R,1,68.000
22567,504,2005-01-12,R,1,24.500
22673,504,2004-12-13,R,1,89.000
23611,2402,2005-04-17,R,1,39.990
24424,2203,2004-08-10,R,1,70.000
24648,4504,2005-07-27,R,1,30.450
24648,9303,2005-08-14,R,1,43.500
26054,7403,2004-12-25,R,1,29.990
26504,8403,2005-08-19,R,1,14.750
26604,3607,2005-04-21,R,1,28.500
26691,902,2004-10-17,R,1,32.000
26691,3502,2004-10-15,R,1,32.000
26846,7502,2005-03-11,R,1,48.000
26915,9302,2005-06-17,R,1,19.750
27031,3502,2004-12-31,R,1,29.990
27367,807,2005-04-11,R,1,12.500
27367,909,2005-03-10,R,1,25.000
27367,1607,2005-04-13,R,1,12.500
27367,1709,2005-03-14,R,1,25.000
27367,2104,2005-04-15,R,1,25.000
27367,9103,2005-02-27,R,1,16.750
27426,8204,2005-04-20,R,1,49.000
27465,8504,2005-06-29,R,1,20.000
27661,8403,2005-08-13,R,1,14.750
27897,407,2005-05-16,R,1,78.000
28119,3103,2005-04-22,R,1,24.000
28371,407,2004-08-11,R,1,20.000
28686,7507,2005-06-26,R,1,36.000
28703,5103,2005-07-14,R,1,38.000
28901,4007,2005-04-19,R,1,199.000
29171,504,2004-11-07,R,1,16.500
29171,2702,2004-11-19,R,1,16.500
29171,3709,2005-02-17,R,1,16.500
29171,7907,2005-01-05,R,1,16.500
29171,8609,2005-05-23,R,1,16.500
29633,4207,2005-03-27,R,1,21.000
29633,8503,2004-12-10,R,1,21.000
29951,7307,2004-10-30,R,1,12.500
32212,2007,2005-02-09,R,1,26.000
33673,6004,2005-03-11,R,1,13.500
33770,4404,2004-12-03,R,1,67.120
33993,1002,2005-05-06,R,1,14.000
33993,2109,2004-11-02,R,1,14.000
33993,5604,2005-04-06,R,1,14.000
34797,4603,2004-12-25,R,1,39.990
36006,7103,2004-11-30,R,1,14.990
36179,202,2005-04-20,R,1,33.500
36388,2704,2005-07-21,R,1,39.500
36836,4603,2004-12-25,R,1,28.000
36879,802,2005-03-28,R,1,52.930
37059,9204,2004-11-27,R,1,21.990
37071,7403,2005-03-11,R,1,8.990
37589,6209,2005-04-08,R,1,45.000
37844,2904,2005-04-22,R,1,44.000
37846,4902,2005-04-08,R,1,34.990
38029,103,2004-12-29,R,1,6.000
38609,4802,2005-04-06,R,1,26.990
38609,4803,2005-06-16,R,1,35.000
38609,5504,2005-05-28,R,1,38.000
38788,407,2005-07-27,R,1,25.320
39171,209,2005-04-05,R,1,16.500
39171,1607,2005-08-09,R,1,17.500
39171,2203,2005-04-13,R,1,16.500
39171,2609,2005-03-23,R,1,16.500
39171,2704,2005-07-14,R,1,17.500
39171,3109,2005-04-25,R,1,16.500
39171,3704,2005-03-10,R,1,16.500
39171,7907,2004-12-15,R,1,16.500
39171,8802,2005-03-16,R,1,16.500
39378,309,2005-07-28,R,1,60.000
39378,7507,2005-04-12,R,1,80.000
